id,content,start
267,Running,20170924
268,Legs,20170925
269,Running,20170926
270,Chest,20170927
271,Running,20170928
272,Back,20170929
273,Running,20170930
274,Legs,20171001
275,Running,20171002
276,Chest,20171003
277,Running,20171004
278,Back,20171005
279,Running,20171006
280,Legs,20171007
281,Running,20171008
282,Chest,20171009
283,Running,20171010
284,Back,20171011
285,Running,20171012
286,Legs,20171013
287,Chest,20171014
288,Back,20171015
289,Legs,20171016
290,Running,20171017
291,Chest and Back,20171018
292,Running,20171019
293,Legs,20171020
294,Running,20171021
295,Compound,20171022
296,Legs,20171023
297,Running,20171024
298,Compound,20171025
299,Running,20171026
300,Legs,20171027
301,Chest,20171028
302,Back,20171029
303,Legs,20171030
304,Running,20171031
305,Compound,20171101
306,Running,20171102
307,Legs,20171103
308,Chest,20171104
309,Back,20171105
310,Rest,20171106
311,Rest,20171107
312,Legs,20171108
313,Running,20171109
314,Chest,20171110
315,Back,20171111
316,Compound,20171112
317,Legs,20171113
318,Running,20171114
319,Compound,20171115
320,Legs,20171116
321,Running,20171117
322,Chest,20171118
323,Back,20171119
324,Running,20171120
325,Running,20171121
326,Compound 1,20171122
327,Running,20171123
328,Running,20171124
329,Legs,20171125
330,Compound 2,20171126
331,Running,20171127
332,Running,20171128
333,Compound 1,20171129
334,Running,20171130
335,Running,20171201
336,Compound 2,20171202
337,Legs,20171203
338,Running,20171204
339,Running,20171205
340,Compound 1,20171206
341,Running,20171207
342,Running,20171208
343,Compound 2,20171209
344,Compound 3,20171210
345,Running,20171211
346,Running,20171212
347,Compound 1,20171213
348,Running,20171214
349,Compound 2,20171215
350,Compound 3,20171216
351,Rest,20171217
352,Running,20171218
353,Running,20171219
354,Texas,20171220
355,Running,20171221
356,Running,20171222
357,Texas,20171223
358,Running,20171224
359,Rest,20171225
360,Rest,20171226
361,Cross training,20171227
362,Rest,20171228
363,Rest,20171229
364,Rest,20171230
365,Rest,20171231
366,Rest,20180101
367,Multisport,20180102
368,Multisport,20180103
369,Multisport,20180104
370,Rest,20180105
371,Rest,20180106
372,Legs,20180107
373,Chest,20180108
374,Back,20180109
375,Rest,20180110
376,Legs,20180111
377,Chest,20180112
378,Back,20180113
379,Rest,20180114
380,Rest,20180115
381,Rest,20180116
382,Rest,20180117
383,Chest,20180118
384,Back,20180119
385,Legs,20180120
386,Chest,20180121
387,Back,20180122
388,Legs,20180123
389,Chest,20180124
390,Back,20180125
391,Legs,20180126
392,Chest,20180127
393,Back,20180128
394,Legs,20180129
395,Rest,20180130
396,Chest,20180131
397,Back,20180201
398,Legs,20180202
399,Chest,20180203
400,Back,20180204
401,Legs,20180205
402,Rest,20180206
403,Chest,20180207
404,Back,20180208
405,Running,20180209
406,Chest,20180210
407,Back,20180211
408,Legs,20180212
409,Chest,20180213
410,Back,20180214
411,Rest,20180215
412,Running,20180216
413,Chest,20180217
414,Back,20180218
415,Legs,20180219
416,Running,20180220
417,Chest,20180221
418,Back,20180222
419,Running,20180223
420,Chest,20180224
421,Back,20180225
422,Legs,20180226
423,Rest,20180227
424,Chest,20180228
425,Back,20180301
426,Rest,20180302
427,Chest,20180303
428,Back,20180304
429,Legs,20180305
430,Rest,20180306
431,Chest,20180307
432,Back,20180308
433,Running,20180309
434,Chest,20180310
435,Back,20180311
436,Legs,20180312
437,Running,20180313
438,Chest,20180314
439,Back,20180315
440,Running,20180316
441,Compound,20180317
442,Legs,20180318
443,Running,20180319
444,Chest,20180320
445,Back,20180321
446,Running,20180322
447,Chest,20180323
448,Back,20180324
449,Legs,20180325
450,Running,20180326
451,Chest,20180327
452,Back,20180328
453,Rest,20180329
454,Multisport,20180330
455,Multisport,20180331
456,Multisport,20180401
457,Rest,20180402
458,Multisport,20180403
459,Compound,20180404
460,Rest,20180405
461,Multisport,20180406
462,Multisport,20180407
463,Multisport,20180408
464,Multisport,20180409
465,Rest,20180410
466,Chest,20180411
467,Back,20180412
468,Legs,20180413
469,Chest,20180414
470,Back,20180415
471,Running,20180416
472,Chest,20180417
473,Multisport (Back),20180418
474,Legs,20180419
475,Rest,20180420
476,Multisport (Chest),20180421
477,Multisport (Back),20180422
478,Legs,20180423
479,Chest,20180424
480,Multisport (Back),20180425
481,Multisport (Chest),20180426
482,Back,20180427
483,Chest,20180428
484,Legs,20180429
485,Rest,20180430
486,Multisport (Back),20180501
487,Chest,20180502
488,Multisport (Back),20180503
489,Multisport (Chest),20180504
490,Multisport (Back),20180505
491,Legs,20180506
492,Multisport (Chest),20180507
493,Multisport (Back),20180508
494,Running,20180509
495,Chest,20180510
496,Rest,20180511
497,Multisport (Back),20180512
498,Legs,20180513
499,Multisport (Chest),20180514
500,Multisport (Back),20180515
501,Chest,20180516
502,Multisport (Back),20180517
503,Legs,20180518
504,Multisport (Chest),20180519
505,Multisport (Back),20180520
506,Chest,20180521
507,Multisport (Back),20180522
508,Legs,20180523
509,Multisport (Chest),20180524
510,Multisport (Back),20180525
511,Chest,20180526
512,Rest,20180527
513,Multisport (Legs),20180528
514,Multisport (Back),20180529
515,Multisport (Chest),20180530
516,Multisport (Legs),20180531
517,Multisport (Back),20180601
518,Multisport (Chest),20180602
519,Rest,20180603
520,Compound,20180604
521,Rest,20180605
522,Compound,20180606
523,Compound,20180607
524,Multisport (Back),20180608
525,Rest,20180609
526,Multisport (Chest),20180610
527,Rest,20180611
528,Rest,20180612
529,Multisport (Back),20180613
530,Multisport (Chest),20180614
531,Multisport (Back),20180615
532,Multisport (Chest),20180616
533,Multisport (Back),20180617
534,Multisport (Chest),20180618
535,Multisport (Back),20180619
536,Multisport (Chest),20180620
537,Multisport (Back),20180621
538,Rest,20180622
539,Rest,20180623
540,Rest,20180624
541,Compound,20180625
542,Compound,20180626
543,Compound,20180627
544,Compound,20180628
545,Compound,20180629
546,Compound,20180630
547,Rest,20180701
548,Chest,20180702
549,Back,20180703
550,Chest,20180704
551,Back,20180705
552,Rest,20180706
553,Rest,20180707
554,Rest,20180708
555,Chest,20180709
556,Back,20180710
557,Legs,20180711
558,Chest,20180712
559,Back,20180713
560,Chest,20180714
561,Back,20180715
562,Legs,20180716
563,Chest,20180717
564,Running,20180718
565,Back,20180719
566,Legs,20180720
567,Running,20180721
568,Compound,20180722
569,Chest,20180723
570,Running,20180724
571,Back,20180725
572,Running,20180726
573,Legs,20180727
574,Compound,20180728
575,Chest,20180729
576,Running,20180730
577,Back,20180731
578,Running,20180801
579,Compound,20180802
580,Rest,20180803
581,Rest,20180804
582,Chest,20180805
583,Rest,20180806
584,Back,20180807
585,Legs,20180808
586,Chest,20180809
587,Back,20180810
588,Legs,20180811
589,Chest,20180812
590,Back,20180813
591,Legs,20180814
592,Chest,20180815
593,Back,20180816
594,Legs,20180817
595,Compound,20180818
596,Running,20180819
597,Compound,20180820
598,Rest,20180821
599,Legs,20180822
600,Chest,20180823
601,Running,20180824
602,Back,20180825
603,Compound,20180826
604,Running,20180827
605,Chest,20180828
606,Back,20180829
607,Chest,20180830
608,Back,20180831
609,Chest,20180901
610,Back,20180902
611,Rest,20180903
612,Chest,20180904
613,Back,20180905
614,Rest,20180906
615,Chest,20180907
616,Back,20180908
617,Legs,20180909
618,Chest,20180910
619,Back,20180911
620,Chest,20180912
621,Back,20180913
622,Rest,20180914
623,Chest,20180915
624,Back,2018-09-16
625,Legs,2018-09-17
626,Chest,2018-09-18
627,Back,2018-09-19
628,Legs,2018-09-20
629,Chest,2018-09-21
630,Back,2018-09-22
631,Legs,2018-09-23
632,Chest,2018-09-24
633,Back,2018-09-25
634,Legs,2018-09-26
635,Chest,2018-09-27
636,Back,2018-09-28
637,Legs,2018-09-29
638,Chest,2018-09-30
639,Back,2018-10-01
640,Rest,2018-10-02
641,Chest,2018-10-03
642,Back,2018-10-04
643,Running,2018-10-05
644,Chest,2018-10-06
645,Back,2018-10-07
646,Chest,2018-10-08
647,Running,2018-10-09
648,Bouldering,2018-10-10
649,Back,2018-10-11
650,Running,2018-10-12
651,Bouldering,2018-10-13
652,Legs,2018-10-14
653,Chest,2018-10-15
654,Running,2018-10-16
655,Bouldering,2018-10-17
656,Back,2018-10-18
657,Running,2018-10-19
658,Bouldering,2018-10-20
659,Legs,2018-10-21
660,Chest,2018-10-22
661,Running,2018-10-23
662,Bouldering,2018-10-24
663,Back,2018-10-25
664,Running,2018-10-26
665,Bouldering,2018-10-27
666,Legs,2018-10-28
667,Chest,2018-10-29
668,Running,2018-10-30
669,Back,2018-10-31
670,Running,2018-11-01
671,Compound,2018-11-02
672,Bouldering,2018-11-03
673,Bouldering,2018-11-04
674,Chest,2018-11-05
675,Running,2018-11-06
676,Back,2018-11-07
677,Compound,2018-11-08
678,Rest,2018-11-09
679,Bouldering,2018-11-10
680,Bouldering,2018-11-11
681,Chest,2018-11-12
682,Running,2018-11-13
683,Back,2018-11-14
684,Compound,2018-11-15
685,Rest,2018-11-16
686,Bouldering,2018-11-17
687,Bouldering,2018-11-18
688,Chest,2018-11-19
689,Running,2018-11-20
690,Back,2018-11-21
691,Bouldering,2018-11-22
692,Compound,2018-11-23
693,Compound,2018-11-24
694,Bouldering,2018-11-25
695,Rest,2018-11-26
696,Chest,2018-11-27
697,Back,2018-11-28
698,Rest,2018-11-29
699,Compound,2018-11-30
700,Running,2018-12-01
701,Bouldering,2018-12-02
702,Chest,2018-12-03
703,Back,2018-12-04
704,Bouldering,2018-12-05
705,Chest,2018-12-06
706,Back,2018-12-07
707,Compound,2018-12-08
708,Chest,2018-12-09
709,Back,2018-12-10
710,Compound,2018-12-11
711,Chest,2018-12-12
712,Back,2018-12-13
713,Compound,2018-12-14
714,Rest,2018-12-15
715,Rest,2018-12-16
716,Multisport,2018-12-17
717,Multisport,2018-12-18
718,Chest,2018-12-19
719,Back,2018-12-20
720,Multisport,2018-12-21
721,Chest,2018-12-22
722,Back,2018-12-23
723,Multisport,2018-12-24
724,Rest,2018-12-25
725,Multisport,2018-12-26
726,Chest,2018-12-27
727,Back,2018-12-28
728,Multisport,2018-12-29
729,Chest,2018-12-30
730,Back,2018-12-31
731,Rest,2019-01-01
732,Multisport,2019-01-02
733,Chest,2019-01-03
734,Back,2019-01-04
735,Multisport,2019-01-05
736,Multisport,2019-01-06
737,Rest,2019-01-07
738,Multisport,2019-01-08
739,Rest,2019-01-09
740,Multisport,2019-01-10
741,Rest,2019-01-11
742,Multisport,2019-01-12
743,Multisport,2019-01-13
744,Multisport,2019-01-14
745,Rest,2019-01-15
746,Back,2019-01-16
747,Chest,2019-01-17
748,Compound,2019-01-18
749,Back,2019-01-19
750,Chest,2019-01-20
751,Compound,2019-01-21
