starttime	summary
20171202	Compound 2
20171203	Legs
20171204	Running
20171205	Running
20171206	Compound 1
20171207	Running
20171208	Running
20171209	Compound 2
20171210	Compound 3
20171211	Running
20171212	Running
20171213	Compound 1
20171214	Running
20171215	Compound 2
20171216	Compound 3
20171217	Rest
20171218	Running
20171219	Running
20171220	Texas
20171221	Running
20171222	Running
20171223	Texas
20171224	Running
20171225	Rest
20171226	Rest
20171227	Cross training
20171228	Rest
20171229	Rest
20171230	Rest
20171231	Rest
20180101	Rest
20180102	Multisport
20180103	Multisport
20180104	Multisport
20180105	Rest
20180106	Rest
20180107	Legs
20180108	Chest
20180109	Back
20180110	Rest
20180111	Legs
20180112	Chest
20180113	Back
20180114	Rest
20180115	Rest
20180116	Rest
20180117	Rest
20180118	Chest
20180119	Back
20180120	Legs
20180121	Chest
20180122	Back
20180123	Legs
20180124	Chest
20180125	Back
20180126	Legs
20180127	Chest
20180128	Back
20180129	Legs
20180130	Rest
20180131	Chest
20180201	Back
20180202	Legs
20180203	Chest
20180204	Back
20180205	Legs
20180206	Rest
20180207	Chest
20180208	Back
20180209	Running
20180210	Chest
20180211	Back
20180212	Legs
20180213	Chest
20180214	Back
20180215	Rest
20180216	Running
20180217	Chest
20180218	Back
20180219	Legs
20180220	Running
20180221	Chest
20180222	Back
20180223	Running
20180224	Chest
20180225	Back
20180226	Legs
20180227	Rest
20180228	Chest
20180301	Back
20180302	Rest
20180303	Chest
20180304	Back
20180305	Legs
20180306	Rest
20180307	Chest
20180308	Back
20180309	Running
20180310	Chest
20180311	Back
20180312	Legs
20180313	Running
20180314	Chest
20180315	Back
20180316	Running
20180317	Compound
20180318	Legs
20180319	Running
20180320	Chest
20180321	Back
20180322	Running
20180323	Chest
20180324	Back
20180325	Legs
20180326	Running
20180327	Chest
20180328	Back
20180329	Rest
20180330	Multisport
20180331	Multisport
20180401	Multisport
20180402	Rest
20180403	Multisport
20180404	Compound
20180405	Rest
20180406	Multisport
20180407	Multisport
20180408	Multisport
20180409	Multisport
20180410	Rest
20180411	Chest
20180412	Back
20180413	Legs
20180414	Chest
20180415	Back
20180416	Running
20180417	Chest
20180418	Multisport (Back)
20180419	Legs
20180420	Rest
20180421	Multisport (Chest)
20180422	Multisport (Back)
20180423	Legs
20180424	Chest
20180425	Multisport (Back)
20180426	Multisport (Chest)
20180427	Back
20180428	Chest
20180429	Legs
20180430	Rest
20180501	Multisport (Back)
20180502	Chest
20180503	Multisport (Back)
20180504	Multisport (Chest)
20180505	Multisport (Back)
20180506	Legs
20180507	Multisport (Chest)
20180508	Multisport (Back)
20180509	Running
20180510	Chest
20180511	Rest
20180512	Multisport (Back)
20180513	Legs
20180514	Multisport (Chest)
20180515	Multisport (Back)
20180516	Chest
20180517	Multisport (Back)
20180518	Legs
20180519	Multisport (Chest)
20180520	Multisport (Back)
20180521	Chest
20180522	Multisport (Back)
20180523	Legs
20180524	Multisport (Chest)
20180525	Multisport (Back)
20180526	Chest
20180527	Rest
20180528	Multisport (Legs)
20180529	Multisport (Back)
20180530	Multisport (Chest)
20180531	Multisport (Legs)
20180601	Multisport (Back)
20180602	Multisport (Chest)
20180603	Rest
20180604	Compound
20180605	Rest
20180606	Compound
20180607	Compound
20180608	Multisport (Back)
20180609	Rest
20180610	Multisport (Chest)
20180611	Rest
20180612	Rest
20180613	Multisport (Back)
20180614	Multisport (Chest)
20180615	Multisport (Back)
20180616	Multisport (Chest)
20180617	Multisport (Back)
20180618	Multisport (Chest)
20180619	Multisport (Back)
20180620	Multisport (Chest)
20180621	Multisport (Back)
20180622	Rest
20180623	Rest
20180624	Rest
20180625	Compound
20180626	Compound
20180627	Compound
20180628	Compound
20180629	Compound
20180630	Compound
20180701	Rest
20180702	Chest
20180703	Back
20180704	Chest
20180705	Back
20180706	Rest
20180707	Rest
20180708	Rest
20180709	Chest
20180710	Back
20180711	Legs
20180712	Chest
20180713	Back
20180714	Chest
20180715	Back
20180716	Legs
20180717	Chest
20180718	Running
20180719	Back
20180720	Legs
20180721	Running
20180722	Compound
20180723	Chest
20180724	Running
20180725	Back
20180726	Running
20180727	Legs
20180728	Compound
20180729	Chest
20180730	Running
20180731	Back
20180801	Running
20180802	Compound
20180803	Rest
20180804	Rest
20180805	Chest
20180806	Rest
20180807	Back
20180808	Legs
20180809	Chest
20180810	Back
20180811	Legs
20180812	Chest
20180813	Back
20180814	Legs
20180815	Chest
20180816	Back
20180817	Legs
20180818	Compound
20180819	Running
20180820	Compound
20180821	Rest
20180822	Legs
20180823	Chest
20180824	Running
20180825	Back
20180826	Compound
20180827	Running
20180828	Chest
20180829	Back
20180830	Chest
20180831	Back
20180901	Chest
20180902	Back
20180903	Rest
20180904	Chest
20180905	Back
20180906	Rest
20180907	Chest
20180908	Back
20180909	Legs
20180910	Chest
20180911	Back
20180912	Chest
20180913	Back
20180914	Rest
20180915	Chest
20180916	Back
20180917	Legs
20180918	Chest
20180919	Back
20180920	Legs
20180921	Chest
20180922	Back
20180923	Legs
20180924	Chest
20180925	Back
20180926	Legs
20180927	Chest
20180928	Back
20180929	Legs
20180930	Chest
20181001	Back
20181002	Rest
20181003	Chest
20181004	Back
20181005	Running
20181006	Chest
20181007	Back
20181008	Chest
20181009	Running
20181010	Bouldering
20181011	Back
20181012	Running
20181013	Bouldering
20181014	Legs
20181015	Chest
20181016	Running
20181017	Bouldering
20181018	Back
20181019	Running
20181020	Bouldering
20181021	Legs
20181022	Chest
20181023	Running
20181024	Bouldering
20181025	Back
20181026	Running
20181027	Bouldering
20181028	Legs
20181029	Chest
20181030	Running
20181031	Back
20181101	Running
20181102	Compound
20181103	Bouldering
20181104	Bouldering
20181105	Chest
20181106	Running
20181107	Back
20181108	Compound
20181109	Rest
20181110	Bouldering
20181111	Bouldering
20181112	Chest
20181113	Running
20181114	Back
20181115	Compound
20181116	Rest
20181117	Bouldering
20181118	Bouldering
20181119	Chest
20181120	Running
20181121	Back
20181122	Bouldering
20181123	Compound
20181124	Compound
20181125	Bouldering
20181126	Rest
20181127	Chest
20181128	Back
20181129	Rest
20181130	Compound
20181201	Running
20181202	Bouldering
20181203	Chest
20181204	Back
20181205	Bouldering
20181206	Chest
20181207	Back
20181208	Compound
20181209	Chest
20181210	Back
20181211	Compound
20181212	Chest
20181213	Back
20181214	Compound
20181215	Rest
20181216	Rest
20181217	Multisport
20181218	Multisport
20181219	Chest
20181220	Back
20181221	Multisport
20181222	Chest
20181223	Back
20181224	Multisport
20181225	Rest
20181226	Multisport
20181227	Chest
20181228	Back
20181229	Multisport
20181230	Chest
20181231	Back
20190101	Rest
20190102	Multisport
20190103	Chest
20190104	Back
20190105	Multisport
20190106	Multisport
20190107	Rest
20190108	Multisport
20190109	Rest
20190110	Multisport
20190111	Rest
20190112	Multisport
20190113	Multisport
20190114	Multisport
20190115	Rest
20190116	Back
20190117	Chest
20190118	Compound
20190119	Back
20190120	Chest
20190121	Compound
20190122	Back
20190123	Chest
20190124	Compound
20190125	Rest
20190126	Compound
20190127	Rest
20190128	Chest
20190129	Back
20190130	Legs
20190131	Compound
20190201	Rest
20190202	Chest
20190203	Back
20190204	Legs
20190205	Compound
20190206	Chest
20190207	Back
20190208	Legs
20190209	Compound
20190210	Chest
20190211	Back
20190212	Legs
20190213	Compound
20190214	Rest
20190215	Compound
20190216	Rest
20190217	Chest
20190218	Back
20190219	Legs
20190220	Compound
20190221	Chest
20190222	Back
20190223	Legs
20190224	Compound
20190225	Chest
20190226	Back
20190227	Compound
20190228	Rest
20190301	Chest
20190302	Back
20190303	Legs
20190304	Multisport
20190305	Multisport
20190306	Back
20190307	Compound
20190308	Chest
20190309	Back
20190310	Compound
20190311	Legs
20190312	Chest
20190313	Back
20190314	Legs
20190315	Compound
20190316	Rest
20190317	Rest
20190318	Chest
20190319	Back
20190320	Chest
20190321	Back
20190322	Compound
20190323	Rest
20190324	Chest
20190325	Back
20190326	Chest
20190327	Back
20190328	Chest
20190329	Back
20190330	Chest
20190331	Basketball
20190401	Back
20190402	Chest
20190403	Back
20190404	Chest
20190405	Back
20190406	Basketball
20190407	Chest
20190408	Back
20190409	Chest
20190410	Back
20190411	Chest
20190412	Back
20190413	Rest
20190414	Rest
20190415	Chest
20190416	Back
20190417	Chest
20190418	Back
20190419	Rest
20190420	Chest
20190421	Back
20190422	Chest
20190423	Back
20190424	Rest
20190425	Chest
20190426	Back
20190427	Chest
20190428	Back
20190429	Chest
20190430	Back
20190501	Rest
20190502	Chest
20190503	Back
20190504	Running
20190505	Chest
20190506	Back
20190507	Chest
20190508	Rest
20190509	Back
20190510	Chest
20190511	Rest
20190512	Back
20190513	Running
20190514	Chest
20190515	Back
20190516	Running
20190517	Chest
20190518	Back
20190519	Running
20190520	Chest
20190521	Back
20190522	Running
20190523	Chest
20190524	Back
20190525	Legs
20190526	Chest
20190527	Back
20190528	Chest
20190529	Back
