No,Date,Workout,Duration
876,2019-05-26,Chest,41
877,2019-05-27,Back,40
878,2019-05-28,Chest,39
879,2019-05-29,Back,41
880,2019-05-30,Running,42
881,2019-05-31,Chest,41
882,2019-06-01,Back,36
883,2019-06-02,Legs,28
884,2019-06-03,Chest,42
885,2019-06-04,Back,40
886,2019-06-05,Running,42
887,2019-06-06,Chest,40
888,2019-06-07,Back,42
889,2019-06-08,Legs,29
890,2019-06-09,Chest,41
891,2019-06-10,Back,43
892,2019-06-11,Rest,0
893,2019-06-12,Rest,0
894,2019-06-13,Surfing,120
895,2019-06-14,Surfing,120
896,2019-06-15,Surfing,120
897,2019-06-16,Surfing,120
898,2019-06-17,Surfing,180
899,2019-06-18,Rest,0
900,2019-06-19,Rest,0
901,2019-06-20,Rest,0
902,2019-06-21,Rest,0
903,2019-06-22,Rest,0
904,2019-06-23,Rest,0
905,2019-06-24,Rest,0
906,2019-06-25,Rest,0
907,2019-06-26,Chest,39
908,2019-06-27,Back,43
909,2019-06-28,Compound,43
910,2019-06-29,Rest,0
911,2019-06-30,Rest,0
912,2019-07-01,Compound,120
913,2019-07-02,Chest,41
914,2019-07-03,Back,40
915,2019-07-04,Chest,43
916,2019-07-05,Back,42
917,2019-07-06,Running,52
918,2019-07-07,Running,55
919,2019-07-08,Chest,43
920,2019-07-09,Back,44
921,2019-07-10,Compound,43
922,2019-07-11,Chest,42
923,2019-07-12,Back,46
924,2019-07-13,Compound,44
925,2019-07-14,Rest,0
926,2019-07-15,Chest,43
927,2019-07-16,Back,44
928,2019-07-17,Chest,42
929,2019-07-18,Back,51
930,2019-07-19,Compound,56
931,2019-07-20,Rest,0
932,2019-07-21,Rest,0
933,2019-07-22,Compound,90
934,2019-07-23,Chest,36
935,2019-07-24,Compound,60
936,2019-07-25,Back,42
937,2019-07-26,Compound,60
938,2019-07-27,Rest,0
939,2019-07-28,Running,54
940,2019-07-29,Compound,60
941,2019-07-30,Chest,44
942,2019-07-31,Compound,60
943,2019-08-01,Back,43
944,2019-08-02,Compound,39
945,2019-08-03,Rest,0
946,2019-08-04,Rest,0
947,2019-08-05,Chest,40
948,2019-08-06,Back,43
949,2019-08-07,Chest,42
950,2019-08-08,Back,41
951,2019-08-09,Compound,43
952,2019-08-10,Rest,0
953,2019-08-11,Rest,0
954,2019-08-12,Compound,45
955,2019-08-13,Compound,46
956,2019-08-14,Rest,0
957,2019-08-15,Rest,0
958,2019-08-16,Rest,0
959,2019-08-17,Rest,0
960,2019-08-18,Rest,0
961,2019-08-19,Chest,42
962,2019-08-20,Back,43
963,2019-08-21,Legs,35
964,2019-08-22,Chest,41
965,2019-08-23,Back,38
966,2019-08-24,Rest,0
967,2019-08-25,Running,57
968,2019-08-26,Chest,39
969,2019-08-27,Back,44
970,2019-08-28,Legs,22
971,2019-08-29,Chest,43
972,2019-08-30,Back,40
973,2019-08-31,Compound,46
974,2019-09-01,Rest,0
975,2019-09-02,Compound,60
976,2019-09-03,Chest,40
977,2019-09-04,Compound,60
978,2019-09-05,Back,41
979,2019-09-06,Compound,60
980,2019-09-07,Compound,41
981,2019-09-08,Rest,0
982,2019-09-09,Compound,50
983,2019-09-10,Chest,42
984,2019-09-11,Compound,60
985,2019-09-12,Back,40
986,2019-09-13,Compound,60
987,2019-09-14,Compound,45
988,2019-09-15,Rest,0
989,2019-09-16,Chest,38
990,2019-09-17,Back,34
991,2019-09-18,Legs,31
992,2019-09-19,Chest,42
993,2019-09-20,Back,39
994,2019-09-21,Compound,37
995,2019-09-22,Rest,0
996,2019-09-23,Rest,0
997,2019-09-24,Compound,43
998,2019-09-25,Rest,0
999,2019-09-26,Rest,0
1000,2019-09-27,Rest,0
1001,2019-09-28,Rest,0
1002,2019-09-29,Rest,0
1003,2019-09-30,Rest,0
1004,2019-10-01,Chest,40
1005,2019-10-02,Back,35
1006,2019-10-03,Legs,30
1007,2019-10-04,Compound,44
1008,2019-10-05,Rest,0
1009,2019-10-06,Rest,0
1010,2019-10-07,Compound,43
1011,2019-10-08,Chest,41
1012,2019-10-09,Back,37
1013,2019-10-10,Legs,26
1014,2019-10-11,Compound,44
1015,2019-10-12,Rest,0
1016,2019-10-13,Chest,37
1017,2019-10-14,Back,35
1018,2019-10-15,Legs,32
1019,2019-10-16,Chest,38
1020,2019-10-17,Back,40
1021,2019-10-18,Legs,29
1022,2019-10-19,Rest,0
1023,2019-10-20,Rest,0
1024,2019-10-21,Compound,41
1025,2019-10-22,Chest,37
1026,2019-10-23,Back,35
1027,2019-10-24,Legs,27
1028,2019-10-25,Compound,43
1029,2019-10-26,Rest,0
1030,2019-10-27,Rest,0
1031,2019-10-28,Compound,45
1032,2019-10-29,Chest,40
1033,2019-10-30,Back,41
1034,2019-10-31,Compound,41
1035,2019-11-01,Chest,42
1036,2019-11-02,Back,41
1037,2019-11-03,Running,37
1038,2019-11-04,Chest,45
1039,2019-11-05,Back,45
1040,2019-11-06,Running,43
1041,2019-11-07,Chest,43
1042,2019-11-08,Back,45
1043,2019-11-09,Rest,0
1044,2019-11-10,Rest,0
1045,2019-11-11,Chest,46
1046,2019-11-12,Back,44
1047,2019-11-13,Running,41
1048,2019-11-14,Chest,47
1049,2019-11-15,Back,48
1050,2019-11-16,Compound,49
1051,2019-11-17,Rest,0
1052,2019-11-18,Chest,44
1053,2019-11-19,Back,45
1054,2019-11-20,Rest,0
1055,2019-11-21,Chest,42
1056,2019-11-22,Back,46
1057,2019-11-23,Rest,0
1058,2019-11-24,Rest,0
1059,2019-11-25,Chest,45
1060,2019-11-26,Back,45
1061,2019-11-27,Compound,45
1062,2019-11-28,Chest,44
1063,2019-11-29,Back,45
1064,2019-11-30,Compound,46
1065,2019-12-01,Rest,0
1066,2019-12-02,Chest,43
1067,2019-12-03,Back,43
1068,2019-12-04,Chest,46
1069,2019-12-05,Back,42
1070,2019-12-06,Compound,41
1071,2019-12-07,Rest,0
1072,2019-12-08,Rest,0
1073,2019-12-09,Compound,46
1074,2019-12-10,Rest,0
1075,2019-12-11,Compound,41
1076,2019-12-12,Rest,0
1077,2019-12-13,Compound,48
1078,2019-12-14,Rest,0
1079,2019-12-15,Compound,45
1080,2019-12-16,Rest,0
1081,2019-12-17,Compound,45
1082,2019-12-18,Rest,0
1083,2019-12-19,Rest,0
1084,2019-12-20,Compound,45
1085,2019-12-21,Rest,0
1086,2019-12-22,Compound,40
1087,2019-12-23,Rest,0
1088,2019-12-24,Compound,43
1089,2019-12-25,Rest,0
1090,2019-12-26,Rest,0
1091,2019-12-27,Compound,40
1092,2019-12-28,Rest,0
1093,2019-12-29,Rest,0
1094,2019-12-30,Rest,0
1095,2019-12-31,Rest,0
1096,2020-01-01,Rest,0
1097,2020-01-02,Rest,0
1098,2020-01-03,Rest,0
1099,2020-01-04,Rest,0
1100,2020-01-05,Rest,0
1101,2020-01-06,Rest,0
1102,2020-01-07,Rest,0
1103,2020-01-08,Rest,0
1104,2020-01-09,Rest,0
1105,2020-01-10,Chest,35
1106,2020-01-11,Back,36
1107,2020-01-12,Legs,26
1108,2020-01-13,Chest,37
1109,2020-01-14,Back,34
1110,2020-01-15,Legs,29
1111,2020-01-16,Chest,38
1112,2020-01-17,Back,37
1113,2020-01-18,Legs,27
1114,2020-01-19,Rest,0
1115,2020-01-20,Chest,35
1116,2020-01-21,Back,37
1117,2020-01-22,Legs,27
1118,2020-01-23,Chest,36
1119,2020-01-24,Back,39
1120,2020-01-25,Rest,0
1121,2020-01-26,Rest,0
1122,2020-01-27,Chest,37
1123,2020-01-28,Back,34
1124,2020-01-29,Legs,29
1125,2020-01-30,Chest,33
1126,2020-01-31,Back,37
1127,2020-02-01,Legs,28
1128,2020-02-02,Rest,0
1129,2020-02-03,Chest,36
1130,2020-02-04,Back,33
1131,2020-02-05,Legs,28
1132,2020-02-06,Chest,35
1133,2020-02-07,Back,33
1134,2020-02-08,Running,41
1135,2020-02-09,Running,40
1136,2020-02-10,Chest,34
1137,2020-02-11,Back,31
1138,2020-02-12,Rest,0
1139,2020-02-13,Rest,0
1140,2020-02-14,Rest,0
1141,2020-02-15,Rest,0
1142,2020-02-16,Rest,0
1143,2020-02-17,Rest,0
1144,2020-02-18,Rest,0
1145,2020-02-19,Rest,0
1146,2020-02-20,Rest,0
1147,2020-02-21,Chest,39
1148,2020-02-22,Back,39
1149,2020-02-23,Rest,0
1150,2020-02-24,Chest,35
1151,2020-02-25,Back,35
1152,2020-02-26,Legs,24
1153,2020-02-27,Chest,36
1154,2020-02-28,Back,35
1155,2020-02-29,Rest,0
1156,2020-03-01,Rest,0
1157,2020-03-02,Chest,28
1158,2020-03-03,Back,37
1159,2020-03-04,Legs,29
1160,2020-03-05,Chest,32
1161,2020-03-06,Back,38
1162,2020-03-07,Running,40
1163,2020-03-08,Rest,0
1164,2020-03-09,Chest,35
1165,2020-03-10,Back,33
1166,2020-03-11,Rest,0
1167,2020-03-12,Rest,0
1168,2020-03-13,Running,36
1169,2020-03-14,Rest,0
1170,2020-03-15,Rest,0
1171,2020-03-16,Rest,0
1172,2020-03-17,Rest,0
1173,2020-03-18,Multisport,45
1174,2020-03-19,Rest,0
1175,2020-03-20,Rest,0
1176,2020-03-21,Running,42
1177,2020-03-22,Multisport,39
1178,2020-03-23,Multisport,40
1179,2020-03-24,Rest,0
1180,2020-03-25,Running,46
1181,2020-03-26,Multisport,40
1182,2020-03-27,Running,54
1183,2020-03-28,Rest,0
1184,2020-03-29,Multisport,43
1185,2020-03-30,Rest,0
1186,2020-03-31,Multisport,39
1187,2020-04-01,Rest,0
